,titre,contexte,texte,predictions
10,LOI n° 2022-1726 du 30 décembre 2022 de finances pour 2023 (1),"PREMIÈRE PARTIE : CONDITIONS GÉNÉRALES DE L'ÉQUILIBRE FINANCIER
Titre IER : DISPOSITIONS RELATIVES AUX RESSOURCES
I. - IMPÔTS ET RESSOURCES AUTORISÉS
B. - Mesures fiscales
","I.-A modifié les dispositions suivantes :
-Code général des impôts, CGI. 
Art. 199 undecies A, Art. 199 undecies B, Art. 199 undecies C, Art. 217 undecies, Art. 244 quater W, Art. 244 quater X, Art. 244 quater Y



II.-Le I entre en vigueur le 1er janvier 2026, à l'exception du 1°, qui entre en vigueur le 1er janvier 2024.","taxation, European Union law, marketing, accounting, national accounts"
11,Loi n° 88-227 du 11 mars 1988 relative à la transparence financière de la vie politique,"TITRE III : DISPOSITIONS RELATIVES AUX PARTIS ET GROUPEMENTS POLITIQUES ET A LEUR FINANCEMENT.
","Tout parti ou groupement politique qui a obtenu l'agrément d'une association de financement ou qui a désigné un mandataire financier ne peut percevoir des ressources que par l'intermédiaire de cette association ou de ce mandataire. Il est fait application, en cas de manquement, des dispositions du avant-dernier alinéa du II de l'article 11-7.","EU institutions and European civil service, EU finance, cooperation policy, management, European construction"
12,LOI n° 99-641 du 27 juillet 1999 portant création d'une couverture maladie universelle (1),"TITRE Ier : DISPOSITIONS RELATIVES AUX RÉGIMES OBLIGATOIRES
Chapitre III : Dispositions diverses.
","Loi 2002-1487 2002-12-20 art. 18 III : les présentes dispositions sont applicables aux contrats d'assurance maladie en cours de validité lors de l'affiliation au régime général.


   Sont résiliés de plein droit, à compter de la date où le contractant est affilié au régime général en application de l'article L. 380-1 du code de la sécurité sociale, tous contrats d'assurance portant sur les risques couverts par cette affiliation. Les cotisations ou primes afférentes à ces contrats sont remboursées par les organismes qui les ont perçues au prorata de la durée du contrat restant à courir.
   Si la garantie résultant de ces contrats est supérieure à celle qu'assure le régime général, le contrat peut être maintenu en vigueur par un avenant et avec une réduction de prime.","European Union law, employment, European construction, social protection, trade policy"
13,LOI n° 2015-1786 du 29 décembre 2015 de finances rectificative pour 2015 (1),"PREMIÈRE PARTIE : CONDITIONS GÉNÉRALES DE L'ÉQUILIBRE FINANCIER
Titre Ier : DISPOSITIONS RELATIVES AUX RESSOURCES
","Un montant de 37 715 000 € est prélevé sur le produit des sommes versées par la société des autoroutes Estérel-Côte d'Azur-Provence-Alpes (ESCOTA) au titre de l'apport par l'Etat de la section Toulon Ouest - Benoît Malon de l'autoroute A50, y compris les deux tubes du tunnel, et de la section Benoît Malon - Pierreronde de l'autoroute A57, afin d'être affecté à la région Provence-Alpes-Côte d'Azur, au département du Var et à la communauté d'agglomération de Toulon Provence Méditerranée conformément au tableau suivant :

(En euros)





Région Provence-Alpes-Côte d'Azur

13 000 000



Département du Var

14 715 000



Communauté d'agglomération Toulon Provence Méditerranée

10 000 000



Total

37 715 000","regions of EU Member States, land transport, trade policy, organisation of transport, transport policy"
14,LOI n° 2009-594 du 27 mai 2009 pour le développement économique des outre-mer (1),"TITRE II : MESURES DE SOUTIEN A L'ECONOMIE  ET AUX ENTREPRISES
CHAPITRE II : AUTRES MESURES DE SOUTIEN A L'ECONOMIE  ET AUX ENTREPRISES
","Les articles 199 undecies A, 199 undecies B, 199 undecies C, 217 undecies et 217 duodecies du code général des impôts sont applicables aux investissements réalisés à compter du 1er janvier 2010 à Mayotte, en Polynésie française, à Saint-Barthélemy, à Saint-Martin, à Saint-Pierre-et-Miquelon, à Wallis-et-Futuna ainsi qu'en Nouvelle-Calédonie si la collectivité concernée est en mesure d'échanger avec l'Etat les informations utiles à la lutte contre la fraude et l'évasion fiscales. La collectivité de Wallis-et-Futuna transmet à l'Etat toute information utile en vue de lutter contre la fraude et l'évasion fiscales.","taxation, European Union law, European construction, economic geography, Europe"
15,LOI n° 2004-806 du 9 août 2004  relative à la politique de santé publique (1),"TITRE VI : DISPOSITIONS DIVERSES.
","En vertu de la dérogation prévue à l'article 16 de la loi n° 83-634 du 13 juillet 1983 portant droits et obligations des fonctionnaires, les médecins et pharmaciens hospitaliers visés au 1° de l'article L. 6152-1 du code de la santé publique peuvent être intégrés à l'inspection générale des affaires sociales.
   Un décret en Conseil d'Etat détermine les modalités d'application du présent article.","health, European Union law, labour market, social protection, employment"
16,LOI n° 2013-1278 du 29 décembre 2013  de finances pour 2014 ,"SECONDE PARTIE  MOYENS DES POLITIQUES PUBLIQUES  ET DISPOSITIONS SPÉCIALES
TITRE IV : DISPOSITIONS PERMANENTES
II. ― AUTRES MESURES
Solidarité, insertion et égalité des chances
","Pour l'année 2014, par exception au I de l'article L. 262-24 du code de l'action sociale et des familles, le fonds national des solidarités actives mentionné au II du même article finance la totalité des sommes payées au titre de l'allocation de revenu de solidarité active versée aux personnes mentionnées à l'article L. 262-7-1 du même code.","employment, social affairs, social protection, European construction, EU finance"
17,"LOI n° 86-1290 du 23 décembre 1986 tendant à favoriser l'investissement locatif, l'accession à la propriété de logements sociaux et le développement de l'offre foncière","Titre Ier : Des rapports entre bailleurs et locataires
Chapitre V : Modification de la loi n° 48-1360 du 1er septembre 1948 portant modification et codification de la législation relative aux rapports des bailleurs et locataires ou occupants de locaux d'habitation ou à usage professionnel et instituant des allocations de logement.
","Lorsqu'il est fait application de l'article 28, le coût des travaux ayant amélioré substantiellement le confort ou l'équipement du local effectués par le locataire ou l'occupant de bonne foi est remboursé par le propriétaire. Un décret en Conseil d'Etat détermine la nature des travaux pris en compte ainsi que les modalités de leur évaluation.
   Le montant en est fixé et le remboursement effectué lors de la conclusion du contrat de location prévu à l'article 28.
   Si le bailleur le demande, le règlement intervient par compensation sur la fraction du nouveau loyer qui excède le montant de l'ancien. Si la dette n'est pas éteinte à l'expiration du bail mentionné à l'article 28, le bailleur en règle alors le solde.","economic policy, EU finance, accounting, trade policy, civil law"
18,Loi n°78-654 du 22 juin 1978 CONCERNANT LES COMITES PROFESSIONNELS DE DEVELOPPEMENT ECONOMIQUE,,"Conformément à l'article 40 de l'ordonnance n° 2021-1843 du 22 décembre 2021, ces dispositions entrent en vigueur le 1er janvier 2022.

Les recettes mentionnées à l'article 5-1 financent les missions qui, en application de l'article 2, sont dévolues aux comités professionnels de développement économique qui en sont affectataires ainsi que, le cas échéant, celles qui leurs sont dévolues en application de l'article L. 521-2 du code de la recherche.

 Les opérations financées au moyen de ces recettes font l'objet d'une comptabilité propre tenue par l'organisme affectataire.","EU finance, economic policy, accounting, European Union law, financial institutions and credit"
19,LOI n° 2020-473 du 25 avril 2020 de finances rectificative pour 2020 (1),"SECONDE PARTIE  MOYENS DES POLITIQUES PUBLIQUES ET DISPOSITIONS SPÉCIALES
Titre II : DISPOSITIONS PERMANENTES
III. - AUTRES MESURES
","Dans un délai de six mois à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport détaillant la stratégie du Gouvernement en matière de souveraineté industrielle pendant la crise. Ce rapport détaille notamment l'utilisation des moyens budgétaires mis en œuvre pour protéger le capital des entreprises stratégiques.La présente loi entrera en vigueur immédiatement et sera exécutée comme loi de l'Etat.","business organisation, European Union law, civil law, free movement of capital, EU institutions and European civil service"
